"ID","Epic","Feature","User Story (Short Desc)","User Story (Detail)","Acceptance Criteria","Trạng thái","Việc cần phát triển","Ưu tiên","Thứ tự thực hiện","Tên nhóm","Phụ thuộc"
"PM-091","EP-00 Tách khung quản trị dự án","Lưới an toàn","Bộ test khóa hành vi dự án PMI trước khi thay đổi","Là một kỹ sư, tôi muốn có bộ test ghi lại chính xác hành vi hiện tại của dự án PMI trước khi thêm bất kỳ tính năng Scrum nào, để mọi thay đổi làm lệch hành vi PMI đều bị phát hiện ngay trong CI.","AC1: Có test khóa hành vi WBS truyền thống: tạo, sửa, xóa, di chuyển node và rollup 5 trường EVM.
AC2: Có test khóa hành vi hiện tại cho phép đặt node cha sang Done khi node con chưa xong.
AC3: Có test khóa hành vi cập nhật hàng loạt KHÔNG áp gate DoD.
AC4: Có test khóa việc tạo node không bắt buộc người thực hiện và giờ ước lượng.
AC5: Bộ test chạy trong CI và fail ngay khi bất kỳ hành vi nào ở trên thay đổi.","CHƯA CÓ","LÀM TRƯỚC TIÊN. Hiện KHÔNG có test nào phân biệt hành vi node PMI với node Scrum, vì hiện chưa tồn tại khác biệt nào để test. Đây là rủi ro lớn nhất của toàn kế hoạch: mọi sửa đổi ở UpdateNode, validateTransition, rollupAncestorsTx sẽ tự động lan sang cả 2 loại dự án mà không test nào bắt được. Cần: viết mới bộ characterization test, tham chiếu các test đã có (wbs_rollup_atomic_test.go, wbs_transition_validation_test.go, wbs_dod_gate_test.go, wbs_bulk_query_count_test.go).","P0","G00-01","G00 Tách khung quản trị dự án",""
"PM-092","EP-00 Tách khung quản trị dự án","Khung quản trị","Bắt buộc chọn khung quản trị khi khởi tạo dự án","Là một PMO, tôi muốn chọn khung quản trị Scrum hoặc PMI ngay khi tạo dự án, để hệ thống hiển thị đúng bộ tính năng cho từng cách làm việc.","AC1: Form tạo dự án có trường Khung quản trị với đúng 2 lựa chọn Scrum và PMI, bắt buộc chọn, không có giá trị mặc định ngầm.
AC2: Không tạo được dự án khi chưa chọn khung; API trả lỗi 400 kèm mã lỗi.
AC3: Khung quản trị hiển thị ở danh sách dự án và trang chi tiết.
AC4: Cột lưu trên bảng projects, có DEFAULT an toàn là PMI để dữ liệu cũ không đổi hành vi.
AC5: KHÔNG hỗ trợ mô hình lai; một dự án thuộc đúng một khung.","CHƯA CÓ","KHÔNG dùng project_type_id: cột này trỏ vào bảng categories mà người dùng tự sửa được ở màn hình Categories, giá trị hiện tại là Internal/External, và id không ổn định giữa các môi trường. Theo tiền lệ is_ticket_project: thêm cột trên projects kèm CHECK constraint và DEFAULT về PMI, migration một dòng theo mẫu 000259_add_project_ticket_rnd_flags.up.sql.","P0","G00-02","G00 Tách khung quản trị dự án","PM-091"
"PM-093","EP-00 Tách khung quản trị dự án","Khung quản trị","Backfill khung quản trị cho dự án hiện hữu","Là một quản trị hệ thống, tôi muốn gán khung quản trị cho toàn bộ dự án đang chạy theo tiêu chí đã thống nhất, để không dự án nào bị mất tính năng đang dùng.","AC1: Dự án thuộc program_id = 2 (Digital Transformation) được gán khung Scrum.
AC2: Dự án đã có bản ghi trong bảng sprints, hoặc có wbs_nodes.sprint_id khác NULL, được gán khung Scrum.
AC3: Hai tiêu chí trên áp dụng theo quan hệ hoặc; thỏa một trong hai là đủ.
AC4: Mọi dự án còn lại giữ khung PMI, hành vi không đổi.
AC5: Script chạy được ở chế độ thử nghiệm, xuất bản đối chiếu danh sách dự án và khung sẽ gán, trước khi ghi thật.
AC6: Chạy lại nhiều lần cho cùng kết quả.","CHƯA CÓ","Viết script chạy một lần nhận program_id làm tham số thay vì hard-code tên program trong migration (chuỗi Digital Transformation chỉ tồn tại trong dữ liệu vận hành; trong code nó chỉ là placeholder của ô nhập liệu tại programs/+page.svelte:232). CẢNH BÁO CẦN THÔNG BÁO TRƯỚC CHO NGƯỜI DÙNG: vai trò Lead của mọi dự án hiện hữu đang được cấp TOÀN BỘ quyền (project_repository_impl.go:221-223) nên đang nhìn thấy đủ 5 tab Scrum; sau khi gate, Lead của dự án PMI sẽ mất 5 tab này.","P0","G00-03","G00 Tách khung quản trị dự án","PM-092"
"PM-094","EP-00 Tách khung quản trị dự án","Khung quản trị","Seed cấu hình mặc định khác nhau theo khung","Là một Scrum Master, tôi muốn dự án Scrum mới tạo đã có sẵn đúng bộ loại thẻ, trạng thái và vai trò của Scrum, để bắt tay vào việc ngay.","AC1: Dự án Scrum được seed 5 loại thẻ: Epic, Feature, Story, Task, Sub-task, kèm luật phân cấp Epic chứa Feature, Feature chứa Story, Story chứa Task, Task chứa Sub-task.
AC2: Dự án Scrum được seed 4 vai trò: Product Owner, Scrum Master, Developer, Viewer, kèm ma trận quyền mặc định.
AC3: Dự án PMI giữ nguyên seed hiện tại: loại thẻ Phase, Milestone, Work Package và vai trò Lead, Member, Observer.
AC4: Bộ trạng thái workflow mặc định khác nhau giữa 2 khung nhưng đều tuân thủ 3 nhóm lõi todo, in_progress, done.
AC5: Sau khi tạo, người dùng vẫn sửa được cấu hình của dự án mình.
AC6: Phân cấp 5 cấp nằm vừa trong giới hạn độ sâu hiện tại, không cần sửa giới hạn.","CHƯA CÓ","Một dự án chỉ có MỘT bộ workflow (project_workflows là 1:1 với project; wbs_nodes.status_id trỏ thẳng vào project_statuses; Scrum Board dùng chính bộ status đó làm cột). Vì vậy khác biệt giữa 2 khung CHỈ tạo được ở bước seed lúc tạo dự án, không thể tách schema. Đây là nơi gộp phần seed của PM-005 và PM-009. Giới hạn độ sâu 5 cấp tại wbs_service_impl.go:817-822 vừa đủ cho Epic đến Sub-task nhưng KHÔNG còn dư cấp nào.","P0","G00-04","G00 Tách khung quản trị dự án","PM-092"
"PM-095","EP-00 Tách khung quản trị dự án","Tách giao diện","Ẩn hiện tab và nút hành động theo khung quản trị","Là một người dùng, tôi muốn chỉ nhìn thấy các tính năng thuộc khung quản trị của dự án mình, để giao diện không rối bởi những thứ không dùng đến.","AC1: Dự án PMI không thấy các tab Sprints, Backlog, Scrum Board.
AC2: Dự án Scrum không thấy các màn hình thuần PMI: Baseline và Earned Value.
AC3: Các tính năng dùng chung giữ nguyên cho cả hai khung: Risk, Issue, Stakeholder, Timesheet, Resource, Team.
AC4: Quy tắc ẩn hiện áp dụng SAU tầng phân quyền, không thay thế tầng phân quyền.
AC5: Có unit test khóa danh sách tab của từng khung.","CHƯA CÓ","Tái sử dụng cơ chế ĐÃ CÓ: TICKET_PROJECT_HIDDEN_TABS tại projectTabs.ts:43-49 (hiện ẩn đúng 5 tab Scrum cho ticket project) và ProjectHeader.svelte:109. Chỉ cần đổi cờ boolean thành map khung sang tập tab ẩn. Hàm buildProjectTabs là hàm thuần đã có unit test đầy đủ nên chi phí thấp. KHÔNG cần đụng navigation.ts vì menu trái không có mục Scrum nào.","P0","G00-05","G00 Tách khung quản trị dự án","PM-093"
"PM-096","EP-00 Tách khung quản trị dự án","Tách giao diện","Chặn truy cập chéo ở tầng API theo khung","Là một quản trị hệ thống, tôi muốn ranh giới giữa hai khung được ép ở tầng máy chủ, để không thể lách qua bằng cách gọi API trực tiếp hay gõ thẳng đường dẫn.","AC1: Mọi API sprint, backlog, scrum board của dự án PMI trả về lỗi kèm mã lỗi rõ ràng.
AC2: Chặn ở tầng service hoặc middleware, không phụ thuộc việc giao diện có ẩn hay không.
AC3: Truy cập thẳng đường dẫn scrum-board của dự án PMI sẽ chuyển hướng về trang chi tiết dự án.
AC4: Có test API cho cả hai chiều truy cập chéo.","CHƯA CÓ","Đường dẫn scrum-board và toàn bộ API sprint, backlog, release hiện truy cập được từ MỌI dự án, chỉ gate bằng quyền (router_pm.go:103-173). Đây là phần thay đổi hành vi thật sự nên phải làm SAU khi backfill xong, tránh chặn nhầm dự án đang dùng Sprint.","P0","G00-06","G00 Tách khung quản trị dự án","PM-093"
"PM-097","EP-00 Tách khung quản trị dự án","Khung quản trị","Khóa khung quản trị sau khi tạo dự án","Là một PMO, tôi muốn khung quản trị không đổi được sau khi dự án đã tạo, để không phát sinh dữ liệu Sprint hay Story Point mồ côi.","AC1: Khung quản trị không sửa được sau khi tạo, ở cả giao diện lẫn API.
AC2: API cập nhật dự án bỏ qua hoặc từ chối trường khung quản trị.
AC3: Trang chi tiết hiển thị khung ở dạng chỉ đọc kèm ghi chú không thể thay đổi.
AC4: Nhu cầu đổi khung xử lý bằng thao tác quản trị có kiểm soát, nằm ngoài luồng sản phẩm.","CHƯA CÓ","Theo mẫu freeze đã có tại project_service_impl.go:104 (UpdateProject luôn giữ nguyên giá trị progress cũ) và handler DTO cố tình không khai báo trường đó (project_handler.go:21).","P1","G00-07","G00 Tách khung quản trị dự án","PM-092"
"PM-098","EP-00 Tách khung quản trị dự án","Danh mục","Lọc và thống kê danh mục dự án theo khung","Là một PMO, tôi muốn lọc và thống kê dự án theo khung quản trị, để nắm được tỷ lệ áp dụng của từng cách làm việc.","AC1: Danh sách dự án lọc được theo khung quản trị.
AC2: Cột khung hiển thị ở bảng danh sách.
AC3: Portfolio và Program hiển thị số lượng dự án theo từng khung.","CHƯA CÓ","ProjectListFilter (entity/project.go:76-82) hiện chưa có tham số lọc theo loại; cần bổ sung tham số và chỉ mục nếu danh mục lớn.","P2","G00-08","G00 Tách khung quản trị dự án","PM-092"
"PM-001","EP-01 Quản lý Dự án & Phân quyền","Danh mục dự án","Xem danh sách dự án với thông số chính","Là một PMO, tôi muốn xem danh sách toàn bộ dự án kèm PM phụ trách, Product Goal, tiến độ và trạng thái, để nắm nhanh bức tranh toàn danh mục mà không cần mở từng dự án.","AC1: Bảng danh sách hiển thị đủ 5 cột: Tên dự án, Product Goal, Project Manager, Progress, Status.
AC2: Cột Progress hiển thị dạng thanh tiến trình kèm số phần trăm.
AC3: Người dùng chỉ thấy dự án mình có quyền truy cập.
AC4: Danh sách tải xong dưới 1 giây với 200 dự án.","ĐÃ CÓ","Không. Đã implement tại projectColumns.ts và ProjectTableRow.svelte.","—","—","—",""
"PM-002","EP-01 Quản lý Dự án & Phân quyền","Vòng đời dự án","Khai báo Product Goal khi tạo dự án (tùy chọn)","Là một Product Owner, tôi muốn khai báo Product Goal cho dự án để tuyên bố định hướng cốt lõi, nhưng không bị chặn nếu chưa nghĩ ra ngay tại thời điểm khởi tạo.","AC1: Form tạo và sửa dự án có trường Product Goal, cho phép để trống.
AC2: Product Goal hiển thị ở danh sách dự án và trang chi tiết.
AC3: Trường hỗ trợ định dạng văn bản có cấu trúc.
AC4: Dự án không khai báo Product Goal vẫn hoạt động bình thường ở mọi chức năng.","ĐÃ CÓ","Không. Cột projects.product_goal, entity và form nhập liệu đã có, để ở dạng tùy chọn theo đúng yêu cầu. GHI CHÚ: yêu cầu bắt buộc khai báo đã được gỡ bỏ theo quyết định ngày 05/08/2026.","—","—","—",""
