"ID","Epic","Hạng mục","Vai trò thụ hưởng","Loại","MoSCoW","Đợt","Effort","Rủi ro gốc","Phụ thuộc","Giá trị nghiệp vụ","Tiêu chí chấp nhận (Given / When / Then)","Ghi chú kỹ thuật"
"TCK-B001","E01 Ổn định vận hành","Bộ lọc và chiến dịch gán nhóm xử lý cho danh mục còn thiếu","Quản trị viên danh mục","Cấu hình","MUST","Đợt 0","S","R1","-","Gỡ điểm chặn vận hành số 1: 232/234 danh mục chưa gán nhóm khiến bước quy trình con không chuyển tiếp được","AC-1 [EC-0 happy]: Given màn /tickets/catalog có bộ lọc Trạng thái nhóm; When admin chọn giá trị Chưa gán nhóm; Then danh sách chỉ trả các danh mục lá có default_group_id IS NULL và tổng số khớp với truy vấn đếm phía backend.
AC-2 [EC-1 empty]: Given mọi danh mục lá đã có nhóm; When admin mở bộ lọc Chưa gán nhóm; Then hiển thị trạng thái rỗng với thông điệp Tất cả danh mục đã được gán nhóm xử lý.
AC-3 [EC-5 authz]: Given người dùng không có quyền ticket_catalog:read; When gọi endpoint danh sách kèm bộ lọc mới; Then trả 403 kèm mã lỗi ổn định.","Chỉ thêm điều kiện lọc vào ticket_request_type_repository_impl; giao diện gán nhóm đã tồn tại từ phase 460"
"TCK-B002","E01 Ổn định vận hành","Cảnh báo trực quan trên danh mục chưa gán nhóm","Quản trị viên danh mục","UX","MUST","Đợt 0","S","R1","TCK-B001","Ngăn quản trị viên tạo mới danh mục rồi quên cấu hình, tái diễn tình trạng hiện tại","AC-1 [EC-0 happy]: Given một danh mục lá có default_group_id IS NULL; When hiển thị hàng trong bảng danh mục; Then hiện chip cảnh báo màu cảnh báo với nội dung Chưa gán nhóm - bước sẽ không chuyển tiếp được.
AC-2 [EC-0 happy]: Given danh mục đã có nhóm; When hiển thị hàng; Then không có chip cảnh báo nào.
AC-3: Given chip cảnh báo hiển thị; When kiểm tra bằng axe-core; Then 0 lỗi tương phản mức serious ở cả nền sáng và tối.","Component dùng lại SlaChip"
"TCK-B003","E01 Ổn định vận hành","Chặn lưu blueprint có bước trỏ tới danh mục chưa gán nhóm","Quản trị viên danh mục","Quy tắc nghiệp vụ","SHOULD","Đợt 0","M","R1","TCK-B001","Biến lỗi cấu hình từ lỗi phát hiện khi vận hành thành lỗi phát hiện ngay lúc cấu hình","BR-1: Một danh mục kind=process không được lưu nếu tồn tại bước trỏ tới danh mục lá có default_group_id IS NULL.
AC-1 [EC-0 happy]: Given mọi bước của blueprint trỏ tới danh mục lá đã có nhóm; When admin lưu; Then lưu thành công và trả 200.
AC-2 [EC-7 state]: Given blueprint có 2 bước trỏ tới danh mục lá thiếu nhóm; When admin lưu; Then trả 400 với mã lỗi CATALOG_STEP_GROUP_MISSING và payload liệt kê đúng 2 mã danh mục thiếu.
AC-3 [EC-12 migration]: Given các blueprint cũ đã lưu từ trước và đang vi phạm quy tắc; When mở để xem; Then vẫn xem được và hiện cảnh báo, không bị chặn đọc.","Enforce ở ticket_catalog_service; không backfill dữ liệu cũ"
"TCK-B004","E01 Ổn định vận hành","Bảng sức khoẻ cấu hình module Ticket","Quản trị viên hệ thống","Giám sát","COULD","Đợt 0","M","R1","TCK-B001","Một màn hình duy nhất để kiểm tra module đã sẵn sàng vận hành hay chưa","AC-1 [EC-0 happy]: Given màn hình sức khoẻ cấu hình; When mở; Then hiển thị đúng 5 chỉ số: số danh mục thiếu nhóm, số nhóm không có thành viên, số workflow không có trạng thái khởi tạo, số danh mục lá thiếu SLA, số chính sách SLA trùng lặp.
AC-2 [EC-10 scale]: Given 1000 danh mục; When mở màn hình; Then thời gian phản hồi backend dưới 800ms và không quá 5 truy vấn.","Truy vấn tổng hợp riêng, không tái dùng list endpoint"
"TCK-B005","E02 Khôi phục hồ sơ","Khôi phục tệp lộ trình và tệp trạng thái tổng của quy trình GSD","Đội phát triển","Quản trị dự án","MUST","Đợt 0","S","R5","-","Không có sổ nợ thì mọi kế hoạch sau đều thiếu căn cứ; hiện lộ trình là symlink hỏng và trạng thái tổng đã mất","AC-1 [EC-0 happy]: Given tệp lộ trình hiện là symlink hỏng; When chạy lệnh kiểm tra hồ sơ; Then tệp lộ trình đọc được như tệp thường và chứa đầy đủ mục cho các phase từ 400 tới hiện tại.
AC-2 [EC-0 happy]: Given tệp trạng thái tổng bị mất; When chạy hook sinh trạng thái; Then tệp được tạo lại và bảng theo dõi hiển thị đúng phase mới nhất là 494 chứ không phải 469.","Kiểm tra vì sao hook sinh trạng thái ngừng chạy từ phase 470"
"TCK-B006","E02 Khôi phục hồ sơ","Bổ sung hồ sơ phase 489 và biên bản kiểm chứng phase 493","Đội phát triển","Quản trị dự án","MUST","Đợt 0","S","R5","TCK-B005","Hai phase đã phát hành nhưng thiếu hồ sơ; không truy vết được phạm vi và kết quả kiểm thử","AC-1 [EC-0 happy]: Given phase 489 đã ship migration 000272 nhưng không có thư mục hồ sơ; When hoàn tất hạng mục; Then thư mục phase 489 tồn tại với đủ PLAN, SUMMARY và VERIFICATION mô tả đúng phạm vi đã ship.
AC-2 [EC-0 happy]: Given phase 493 thiếu biên bản kiểm chứng; When hoàn tất; Then biên bản tồn tại và ghi lại đúng các carve-out CO-493-drift và CO-493-lint.","Tái dựng từ RELEASE.md v2.6.0 và danh sách carve-out"
"TCK-B007","E02 Khôi phục hồ sơ","Cổng CI kiểm tra tính toàn vẹn hồ sơ phase","Đội phát triển","Quản trị dự án","SHOULD","Đợt 0","M","R5","TCK-B006","Ngăn tái diễn tình trạng phase ship mà không có hồ sơ","AC-1 [EC-0 happy]: Given một phase có commit được đánh dấu đã ship; When chạy cổng CI; Then cổng đạt nếu và chỉ nếu thư mục phase có đủ PLAN, SUMMARY, VERIFICATION.
AC-2 [EC-11 failure]: Given phase thiếu biên bản kiểm chứng; When chạy cổng CI; Then cổng trượt và in ra đúng tên tệp còn thiếu.","Script kiểm tra chạy trong bước ship"
"TCK-B008","E03 Hạ tầng kiểm thử","Dựng lại môi trường live stack cho worktree phát triển","Đội phát triển","Hạ tầng","MUST","Đợt 0","M","R4","-","Đóng khoảng mù kéo dài 36 phase không kiểm thử được giao diện thật","AC-1 [EC-0 happy]: Given một worktree mới tạo; When chạy lệnh dựng môi trường; Then backend và frontend cùng chạy được và đăng nhập thành công bằng tài khoản seed trong dưới 5 phút.
AC-2 [EC-11 failure]: Given thiếu chứng thư ký trong môi trường; When dựng; Then script tự sinh chứng thư dùng cho phát triển thay vì để test đỏ.","Xử lý luôn khoảng trống dev_private.pem đã gây carve-out ở phase 483 và 490"
"TCK-B009","E03 Hạ tầng kiểm thử","Chạy dồn 6 Open Checkpoint đang treo","QA","Kiểm thử","MUST","Đợt 0","M","R4","TCK-B008","Xác nhận chất lượng giao diện của 36 phase chưa từng được kiểm chứng bằng trình duyệt","AC-1 [EC-0 happy]: Given live stack đã chạy; When thực hiện lần lượt các checkpoint T-461-05, T-465-09, T-478-05, T-483-07, T-490-05, T-493-07; Then mỗi checkpoint có kết quả đạt hoặc có phiếu lỗi được mở kèm ảnh chụp màn hình.
AC-2: Given kiểm tra a11y trong các checkpoint; Then ghi nhận số lỗi axe mức serious và critical cho từng màn hình làm số nền cho hạng mục a11y.","Kết quả là đầu vào cho epic E08"
"TCK-B010","E03 Hạ tầng kiểm thử","CI bắt buộc có Postgres, biến t.Skip hạ tầng thành lỗi","Đội phát triển","Kiểm thử","MUST","Đợt 0","S","R10","-","Chấm dứt tình trạng test integration pass rỗng che giấu lỗi hồi quy","AC-1 [EC-0 happy]: Given CI có biến môi trường CI=true; When một test gọi t.Skip vì thiếu DSN; Then test báo lỗi thay vì bỏ qua.
AC-2 [EC-0 happy]: Given chạy trên máy lập trình viên không có Postgres; When chạy bộ test; Then vẫn bỏ qua như hiện nay và in cảnh báo rõ ràng.
AC-3: Given CI đã cấu hình dịch vụ Postgres; When chạy toàn bộ bộ test ticket; Then 0 test bị bỏ qua vì lý do hạ tầng.","10 điểm t.Skip hiện tại trong module ticket"
