"Thứ tự","ID","Nhóm","User Story","Trạng thái","Quy mô","Số phiên agent","Giờ thấp","Giờ cao","Rủi ro","Yếu tố chi phối chi phí"
"G00-01","PM-091","G00 Tách khung quản trị","Bộ test khóa hành vi dự án PMI trước khi thay đổi","CHƯA CÓ","M","2-3","8","12","Thấp","Không viết code sản phẩm, nhưng agent phải đọc hiểu sâu hành vi hiện tại của WBS, rollup, transition và DoD rồi viết 15 đến 20 test. Có sẵn test mẫu để tham chiếu nên chi phí đọc giảm đáng kể. Test tích hợp cần chạy trên cơ sở dữ liệu thật."
"G00-02","PM-092","G00 Tách khung quản trị","Bắt buộc chọn khung quản trị khi khởi tạo dự án","CHƯA CÓ","S-M","1-2","4","6","Thấp","Thuần cơ học qua 10 file: migration, entity, DTO, handler, repository, service, kiểu dữ liệu FE, form, validate, hiển thị. Có tiền lệ is_ticket_project để sao chép nguyên mẫu."
"G00-03","PM-093","G00 Tách khung quản trị","Backfill khung quản trị cho dự án hiện hữu","CHƯA CÓ","S","1","3","4","Trung bình","Script ngắn nhưng chạy trên dữ liệu vận hành thật. Chi phí nằm ở bản đối chiếu chạy thử và vòng xác nhận với người dùng, không ở việc viết code."
"G00-04","PM-094","G00 Tách khung quản trị","Seed cấu hình mặc định khác nhau theo khung","CHƯA CÓ","L","3-4","12","16","Trung bình","Phải rẽ nhánh khối seed đang hard-code trong transaction tạo dự án. Riêng ma trận quyền mặc định cho 4 vai trò Scrum trên khoảng 40 quyền dự án đã chiếm quá nửa khối lượng. Cộng seed 5 loại thẻ, 4 luật phân cấp và bộ trạng thái workflow."
"G00-05","PM-095","G00 Tách khung quản trị","Ẩn hiện tab và nút hành động theo khung","CHƯA CÓ","S","1","3","4","Thấp","Rẻ nhất trong nhóm. Cơ chế đã tồn tại nguyên vẹn cho ticket project; chỉ đổi cờ boolean thành map khung sang tập tab ẩn. Hàm thuần, đã có unit test."
"G00-06","PM-096","G00 Tách khung quản trị","Chặn truy cập chéo ở tầng API theo khung","CHƯA CÓ","M","2","8","10","Trung bình","Phải phủ khoảng 25 route sprint, backlog, release và report. Cần đọc khung của dự án trên mỗi request nên phải thiết kế cache tránh thêm một truy vấn mỗi lần gọi. Cộng phần chuyển hướng ở FE."
"G00-07","PM-097","G00 Tách khung quản trị","Khóa khung quản trị sau khi tạo dự án","CHƯA CÓ","S","1","2","2","Thấp","Ba dòng thay đổi theo đúng mẫu freeze đã có cho cột tiến độ, cộng phần hiển thị chỉ đọc ở FE."
"G00-08","PM-098","G00 Tách khung quản trị","Lọc và thống kê danh mục dự án theo khung","CHƯA CÓ","S-M","1","4","6","Thấp","Thêm tham số vào bộ lọc danh sách, mệnh đề WHERE ở repository, UI bộ lọc, cột hiển thị và số đếm ở Portfolio, Program."
"G01-01","PM-084","G01 Vá lỗi & siết validation","Cảnh báo khẩn khi thẻ quá hạn","CHƯA CÓ","M","2","8","10","Trung bình","Phải tạo job key mới kèm migration thay vì sửa nhánh cũ đang bị 4 test pin. Cộng truy vấn thẻ quá hạn, tiêm thêm repository dự án và issue, kênh Lark, và chu kỳ nhắc lại chống lặp."
"G01-02","PM-070","G01 Vá lỗi & siết validation","Cảnh báo vượt ngân sách giờ gửi đúng cho PM và Scrum Master","MỘT PHẦN","M","2","6","8","Trung bình","Ba việc trong một: đổi người nhận cần tra cứu PM và SM của dự án; chống lặp cần thêm nơi lưu trạng thái đã gửi; ngưỡng cấu hình được cần thêm chỗ lưu cấu hình cấp dự án. Ảnh hưởng cả dự án PMI nên cần thông báo trước."
